match_index,source_x,source_y,source_z,reference_x,reference_y,reference_z,predicted_source_x,predicted_source_y,predicted_source_z,residual_x,residual_y,residual_z,residual_l2,raw_delta_l2
0.0,86.0,217.0,1.0,87.0,216.0,1.0,86.97689799999998,216.01940499999998,0.996189,-0.9768979999999772,0.9805950000000223,0.003811000000000009,1.384164289436048,1.4142135623730951
1.0,4.0,103.0,2.0,4.0,103.0,2.0,3.9837540000000002,103.012957,2.0136950000000002,0.01624599999999976,-0.012957000000000107,-0.013695000000000235,0.024887133020900606,0.0
2.0,171.0,232.0,3.0,171.0,232.0,3.0,170.98291600000005,232.02387299999998,2.989065,0.017083999999954358,-0.023872999999980493,0.010934999999999917,0.031326624618645195,0.0
3.0,240.0,98.0,4.0,240.0,98.0,4.0,240.00728800000002,98.02512399999999,3.999111,-0.0072880000000168366,-0.025123999999991042,0.0008889999999999176,0.026174809282968906,0.0
4.0,104.0,102.0,4.0,103.0,103.0,5.0,102.99332999999999,103.01781999999999,5.007329,1.006670000000014,-1.0178199999999862,-1.0073290000000004,1.7504438738619987,1.7320508075688772
5.0,226.0,123.0,4.0,225.0,123.0,4.0,225.00253300000003,123.024754,3.9973710000000002,0.9974669999999719,-0.024754000000001497,0.0026289999999997704,0.9977775745354994,1.0
6.0,198.0,76.0,6.0,198.0,76.0,7.0,198.006091,76.02214000000001,7.004145,-0.006090999999997848,-0.022140000000007376,-1.0041450000000003,1.0044075173484122,1.0
7.0,245.0,220.0,6.0,245.0,218.0,5.0,244.991924,218.02730099999997,4.9858210000000005,0.008075999999988426,1.9726990000000342,1.0141789999999995,2.218144632439042,2.23606797749979
8.0,85.0,121.0,7.0,85.0,121.0,7.0,84.98919,121.016916,7.0065170000000006,0.010810000000006426,-0.016915999999994824,-0.00651700000000055,0.021106360297312537,0.0
9.0,182.0,177.0,7.0,183.0,177.0,7.0,182.991304,177.02306199999995,6.994197000000001,-0.9913040000000137,-0.023061999999953287,0.0058029999999993365,0.9915892047965352,1.0
10.0,230.0,8.0,8.0,232.0,7.0,10.0,232.01847,7.022385,10.009391,-2.0184700000000078,0.9776150000000001,-2.009391000000001,3.0112463233694506,3.0
11.0,215.0,71.0,8.0,215.0,71.0,7.0,215.0084,71.02295600000001,7.003597000000001,-0.008399999999994634,-0.022956000000007748,0.996402999999999,0.996702802416547,1.0
12.0,97.0,232.0,8.0,98.0,231.0,7.0,97.975931,231.01947499999997,6.993805000000001,-0.9759310000000028,0.9805250000000285,1.006194999999999,1.7106428529681639,1.7320508075688772
13.0,102.0,235.0,8.0,102.0,236.0,9.0,101.975641,236.01951599999998,8.992989000000001,0.024359000000004016,-1.0195159999999817,-0.9929890000000015,1.4233879967380523,1.4142135623730951
14.0,245.0,3.0,9.0,245.0,3.0,9.0,245.02026800000002,3.0231339999999998,9.009001000000001,-0.020268000000015718,-0.023133999999999766,-0.009001000000001369,0.03204671248350836,0.0
15.0,62.0,121.0,9.0,61.0,121.0,9.0,60.986844000000005,121.01538799999999,9.008033000000001,1.013155999999995,-0.0153879999999873,-0.008033000000001067,1.0133046925624047,1.0
16.0,133.0,206.0,9.0,133.0,204.0,8.0,132.98288100000002,204.02074299999998,7.994471000000001,0.017118999999979678,1.9792570000000183,1.0055289999999992,2.220099074827759,2.23606797749979
17.0,157.0,219.0,9.0,157.0,219.0,9.0,156.98322000000002,219.02214199999997,8.991305,0.01677999999998292,-0.022141999999973905,0.008694999999999453,0.02911081567043874,0.0
18.0,161.0,229.0,9.0,161.0,229.0,9.0,160.982288,229.02252399999998,8.989969,0.017711999999988848,-0.022523999999975786,0.010030999999999679,0.03035896047295605,0.0
19.0,14.0,118.0,11.0,15.0,118.0,10.0,14.982769000000001,118.012771,10.011291,-0.9827690000000011,-0.012771000000000754,0.9887090000000001,1.39411028705874,1.4142135623730951
20.0,179.0,131.0,11.0,178.0,129.0,10.0,177.997128,129.02159699999999,9.999671000000001,1.0028719999999964,1.9784030000000143,1.000328999999999,2.433205455162808,2.449489742783178
21.0,33.0,205.0,11.0,33.0,205.0,11.0,32.973022,205.01507599999997,11.000733,0.026977999999999724,-0.015075999999965006,-0.0007330000000003167,0.030913355511799922,0.0
22.0,200.0,67.0,12.0,200.0,67.0,12.0,200.00742799999998,67.021453,12.004939,-0.007427999999976009,-0.02145299999999395,-0.004939000000000249,0.023233598817216983,0.0
23.0,146.0,75.0,12.0,146.0,72.0,12.0,146.00153,72.018676,12.007855000000001,-0.0015300000000024738,2.9813240000000008,-0.007855000000001056,2.9813347404981223,3.0
24.0,217.0,159.0,13.0,217.0,159.0,13.0,216.99692400000004,159.02378999999996,12.993905000000002,0.0030759999999645515,-0.023789999999962674,0.006094999999998407,0.024750250523943924,0.0
25.0,195.0,19.0,14.0,195.0,19.0,14.0,195.013261,19.020116,14.010423000000001,-0.013260999999999967,-0.020116000000001577,-0.010423000000001181,0.026251600065521477,0.0
26.0,116.0,21.0,14.0,116.0,21.0,14.0,116.005334,21.015963,14.015263000000001,-0.005334000000004835,-0.015962999999999283,-0.015263000000000915,0.022720653467716474,0.0
27.0,38.0,127.0,14.0,39.0,127.0,14.0,38.983872999999996,127.013684,14.008743,-0.9838729999999956,-0.013683999999997809,-0.008743000000000833,0.9840069979598678,1.0
28.0,176.0,185.0,14.0,176.0,185.0,14.0,175.98950600000003,185.021931,13.993711000000001,0.010493999999965808,-0.021930999999995038,0.006288999999998879,0.02511263263775924,0.0
29.0,84.0,245.0,14.0,84.0,245.0,14.0,83.972662,245.01807499999998,13.993119,0.027338000000000306,-0.018074999999981856,0.006880999999999915,0.0334876100968606,0.0
30.0,42.0,140.0,15.0,42.0,140.0,15.0,41.98243900000001,140.01393599999997,15.007137,0.0175609999999935,-0.013935999999972637,-0.007137000000000171,0.02352737949706706,0.0
31.0,55.0,19.0,16.0,55.0,19.0,18.0,54.999645,19.012184,18.019343000000003,0.000354999999998995,-0.012184000000001305,-2.0193430000000028,2.019379787838338,2.0
32.0,126.0,136.0,17.0,126.0,136.0,17.0,125.99109700000001,136.01806399999998,17.002173000000003,0.008902999999989447,-0.018063999999981206,-0.002173000000002645,0.020255701271472793,0.0
33.0,127.0,122.0,18.0,127.0,122.0,18.0,126.993033,122.017751,18.003611,0.006967000000003054,-0.01775100000000407,-0.0036109999999993647,0.019408153209416457,0.0
34.0,126.0,123.0,18.0,126.0,123.0,18.0,125.99280399999999,123.017715,18.003567,0.00719600000000753,-0.017714999999995484,-0.00356700000000032,0.019450633151647037,0.0
35.0,231.0,130.0,18.0,231.0,130.0,18.0,231.00206500000004,130.02339899999998,17.996091,-0.0020650000000443924,-0.023398999999983516,0.003909000000000162,0.023812973501841663,0.0
36.0,226.0,142.0,18.0,226.0,140.0,16.0,226.00027799999998,140.02355999999997,15.995351000000001,-0.0002779999999802385,1.976440000000025,2.004648999999999,2.815125710174431,2.8284271247461903
37.0,212.0,176.0,18.0,212.0,176.0,18.0,211.99415000000002,176.02317399999995,17.992339,0.005849999999981037,-0.02317399999995473,0.007660999999998808,0.025098758873650737,0.0
38.0,155.0,56.0,19.0,155.0,56.0,19.0,155.00445200000001,56.017984999999996,19.008937,-0.0044520000000147775,-0.01798499999999592,-0.008936999999999529,0.020570622207409683,0.0
39.0,139.0,105.0,19.0,139.0,105.0,19.0,138.99643200000003,105.01796999999999,19.004669,0.003567999999972926,-0.01796999999999116,-0.004668999999999812,0.018906376834271744,0.0
