match_index,source_x,source_y,source_z,reference_x,reference_y,reference_z,predicted_source_x,predicted_source_y,predicted_source_z,residual_x,residual_y,residual_z,residual_l2,raw_delta_l2
0.0,33.0,45.0,1.0,33.0,45.0,2.0,33.021871999999995,45.015297,2.056791,-0.021871999999994785,-0.015296999999996785,-1.056791,1.057127996164135,1.0
1.0,45.0,35.0,4.0,46.0,35.0,4.0,45.974537999999995,34.96424699999999,4.01235,-0.9745379999999955,0.03575300000000681,-0.012349999999999639,0.9752718149075116,1.0
2.0,20.0,10.0,6.0,20.0,10.0,6.0,20.015664999999995,9.992841,6.0698550000000004,-0.015664999999994933,0.007158999999999693,-0.06985500000000044,0.07194695637064781,0.0
3.0,60.0,36.0,6.0,60.0,36.0,6.0,59.935031,35.927268999999995,5.968193,0.06496899999999783,0.07273100000000454,0.0318069999999997,0.10257901623139286,0.0
4.0,53.0,6.0,7.0,53.0,6.0,7.0,52.923148,5.899245,6.975854,0.07685200000000236,0.10075500000000037,0.024146,0.12899933815721862,0.0
5.0,57.0,38.0,8.0,57.0,38.0,8.0,56.941253,37.93645099999999,7.970532,0.058746999999996774,0.06354900000000896,0.029467999999999606,0.09142236287692818,0.0
6.0,32.0,50.0,17.0,32.0,50.0,17.0,32.002396,50.012522999999995,17.013145,-0.0023959999999974,-0.01252299999999451,-0.013145000000001517,0.018312765219919407,0.0
7.0,41.0,50.0,20.0,41.0,50.0,20.0,40.973317,49.986290999999994,19.979128000000003,0.026682999999998458,0.013709000000005744,0.020871999999997115,0.036545308235120345,0.0
8.0,53.0,23.0,21.0,53.0,24.0,20.0,52.916982999999995,23.915311,19.939401999999998,0.08301700000000523,-0.9153109999999991,1.0605980000000024,1.40340805420733,1.4142135623730951
9.0,17.0,5.0,26.0,17.0,5.0,26.0,16.982992,4.975809,26.013006999999998,0.017008000000000578,0.024191000000000074,-0.013006999999998214,0.032305705285598965,0.0
10.0,48.0,43.0,27.0,48.0,43.0,27.0,47.935685,42.95122099999999,26.935909999999996,0.06431500000000057,0.04877900000001034,0.06409000000000376,0.1030695792462624,0.0
11.0,52.0,24.0,28.0,52.0,24.0,28.0,51.905288999999996,23.911009,27.916665,0.09471100000000376,0.08899100000000004,0.08333500000000171,0.15438359312764102,0.0
12.0,57.0,32.0,28.0,58.0,32.0,28.0,57.897093,31.907396999999992,27.902534999999997,-0.8970929999999981,0.09260300000000754,0.09746500000000324,0.9071111246605891,1.0
13.0,14.0,13.0,30.0,14.0,13.0,30.0,13.991338,12.992367,30.01062,0.008661999999999281,0.007633000000000223,-0.010619999999999408,0.015686852233637517,0.0
14.0,57.0,50.0,33.0,57.0,50.0,33.0,56.90789,49.93301699999999,32.894258,0.09210999999999814,0.06698300000000756,0.10574199999999934,0.15541024725866867,0.0
15.0,12.0,7.0,34.0,12.0,7.0,34.0,11.983736,6.985047,34.001692,0.016263999999999612,0.014953000000000216,-0.0016919999999984725,0.02215790533872705,0.0
16.0,54.0,19.0,35.0,54.0,19.0,35.0,53.882729,18.892104999999997,34.887588,0.11727100000000235,0.10789500000000274,0.11241199999999907,0.19501352827432492,0.0
17.0,13.0,6.0,36.0,13.0,6.0,36.0,12.976568999999998,5.979171,35.992336,0.0234310000000022,0.020828999999999986,0.007663999999998339,0.03227376485630515,0.0
18.0,30.0,18.0,36.0,30.0,18.0,36.0,29.943203,17.952745,35.949389,0.05679699999999954,0.047254999999999825,0.050611000000003514,0.08955672813920953,0.0
19.0,22.0,11.0,37.0,22.0,11.0,37.0,21.955827,10.962260999999998,36.966048,0.044173000000000684,0.037739000000001965,0.033951999999999316,0.06729208240201935,0.0
20.0,36.0,22.0,38.0,36.0,22.0,38.0,35.927620999999995,21.941328999999996,37.927803,0.07237900000000508,0.058671000000003914,0.07219700000000273,0.11787032150207104,0.0
