row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,1.0,0.997366,-0.002634000000000025,0.002634000000000025
0,1,linear_r0c1,0.0,0.000951,0.000951,0.000951
0,2,linear_r0c2,0.0,-0.001791,-0.001791,0.001791
0,3,tx,0.0,0.069581,0.069581,0.069581
1,0,linear_r1c0,0.0,-0.002626,-0.002626,0.002626
1,1,linear_r1c1,1.0,1.001518,0.0015179999999999083,0.0015179999999999083
1,2,linear_r1c2,0.0,-0.000866,-0.000866,0.000866
1,3,ty,0.0,0.035377,0.035377,0.035377
2,0,linear_r2c0,0.0,-0.002719,-0.002719,0.002719
2,1,linear_r2c1,0.0,0.000273,0.000273,0.000273
2,2,linear_r2c2,1.0,0.996818,-0.003182000000000018,0.003182000000000018
2,3,tz,0.0,0.140597,0.140597,0.140597
