row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.8,0.799745,-0.0002550000000000052,0.0002550000000000052
0,1,linear_r0c1,0.0,0.000419,0.000419,0.000419
0,2,linear_r0c2,0.0,0.00069,0.00069,0.00069
0,3,tx,24.900000000000006,24.788373,-0.1116270000000057,0.1116270000000057
1,0,linear_r1c0,0.0,0.000414,0.000414,0.000414
1,1,linear_r1c1,0.8,0.800217,0.0002169999999999117,0.0002169999999999117
1,2,linear_r1c2,0.0,0.000626,0.000626,0.000626
1,3,ty,24.900000000000006,24.66929,-0.23071000000000552,0.23071000000000552
2,0,linear_r2c0,0.0,0.000843,0.000843,0.000843
2,1,linear_r2c1,0.0,0.001314,0.001314,0.001314
2,2,linear_r2c2,0.8,0.799873,-0.00012700000000009926,0.00012700000000009926
2,3,tz,24.900000000000006,24.553452,-0.34654800000000563,0.34654800000000563
