row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.5,0.50602,0.006020000000000025,0.006020000000000025
0,1,linear_r0c1,0.0,0.049147,0.049147,0.049147
0,2,linear_r0c2,0.0,-0.057535,-0.057535,0.057535
0,3,tx,62.25,59.028863,-3.221136999999999,3.221136999999999
1,0,linear_r1c0,0.0,-0.02798,-0.02798,0.02798
1,1,linear_r1c1,0.5,0.451555,-0.048445000000000016,0.048445000000000016
1,2,linear_r1c2,0.0,0.051889,0.051889,0.051889
1,3,ty,62.25,67.119118,4.869118,4.869118
2,0,linear_r2c0,0.0,0.018259,0.018259,0.018259
2,1,linear_r2c1,0.0,0.138305,0.138305,0.138305
2,2,linear_r2c2,0.5,0.34661,-0.15339000000000003,0.15339000000000003
2,3,tz,62.25,52.016218,-10.233781999999998,10.233781999999998
