row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.917018,-0.0007076658789999524,0.0007076658789999524
0,1,linear_r0c1,0.215361189858,0.218493,0.00313181014199998,0.00313181014199998
0,2,linear_r0c2,0.101806986705,0.100151,-0.001655986705000001,0.001655986705000001
0,3,tx,-21.474432116361015,-21.503827,-0.029394883638985903,0.029394883638985903
1,0,linear_r1c0,-0.202393799825,-0.203212,-0.0008182001750000056,0.0008182001750000056
1,1,linear_r1c1,1.026031128239,1.022847,-0.0031841282389999392,0.0031841282389999392
1,2,linear_r1c2,0.068892775316,0.067977,-0.0009157753159999976,0.0009157753159999976
1,3,ty,14.255211704428032,14.628559,0.37334729557196766,0.37334729557196766
2,0,linear_r2c0,-0.082539638924,-0.080005,0.0025346389239999934,0.0025346389239999934
2,1,linear_r2c1,-0.094437732193,-0.0966,-0.002162267807000004,0.002162267807000004
2,2,linear_r2c2,0.963061537592,0.968144,0.0050824624080000325,0.0050824624080000325
2,3,tz,8.862038459261015,8.502242,-0.35979645926101433,0.35979645926101433
