row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.917754,2.833412100000654e-05,2.833412100000654e-05
0,1,linear_r0c1,0.215361189858,0.215307,-5.418985800001441e-05,5.418985800001441e-05
0,2,linear_r0c2,0.101806986705,0.101828,2.1013294999996934e-05,2.1013294999996934e-05
0,3,tx,-65.164686810573,-65.131667,0.03301981057300907,0.03301981057300907
1,0,linear_r1c0,-0.202393799825,-0.202501,-0.00010720017499998846,0.00010720017499998846
1,1,linear_r1c1,1.026031128239,1.025917,-0.0001141282390000331,0.0001141282390000331
1,2,linear_r1c2,0.068892775316,0.068737,-0.00015577531599998695,0.00015577531599998695
1,3,ty,34.244612410648,34.347639,0.10302658935199815,0.10302658935199815
2,0,linear_r2c0,-0.082539638924,-0.082404,0.000135638923999995,0.000135638923999995
2,1,linear_r2c1,-0.094437732193,-0.094605,-0.00016726780699999333,0.00016726780699999333
2,2,linear_r2c2,0.963061537592,0.963116,5.446240800000002e-05,5.446240800000002e-05
2,3,tz,48.650383494911,48.617206,-0.0331774949109942,0.0331774949109942
