row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.917725665879,0.917769,4.3334120999993786e-05,4.3334120999993786e-05
0,1,linear_r0c1,0.215361189858,0.215354,-7.1898580000229195e-06,7.1898580000229195e-06
0,2,linear_r0c2,0.101806986705,0.101852,4.501329499999318e-05,4.501329499999318e-05
0,3,tx,-65.164686810573,-65.178593,-0.013906189427004279,0.013906189427004279
1,0,linear_r1c0,-0.202393799825,-0.202432,-3.820017500000272e-05,3.820017500000272e-05
1,1,linear_r1c1,1.026031128239,1.026048,1.687176100007015e-05,1.687176100007015e-05
1,2,linear_r1c2,0.068892775316,0.068761,-0.0001317753159999907,0.0001317753159999907
1,3,ty,34.244612410648,34.272057,0.027444589351993898,0.027444589351993898
2,0,linear_r2c0,-0.082539638924,-0.082498,4.1638923999998134e-05,4.1638923999998134e-05
2,1,linear_r2c1,-0.094437732193,-0.094499,-6.126780699999834e-05,6.126780699999834e-05
2,2,linear_r2c2,0.963061537592,0.963115,5.3462408000082284e-05,5.3462408000082284e-05
2,3,tz,48.650383494911,48.629732,-0.020651494911000157,0.020651494911000157
