match_index,source_x,source_y,source_z,reference_x,reference_y,reference_z,predicted_source_x,predicted_source_y,predicted_source_z,residual_x,residual_y,residual_z,residual_l2,raw_delta_l2
0.0,20.0,10.0,6.0,35.0,4.0,7.0,19.867684000000004,10.323548999999996,6.545197000000002,0.13231599999999588,-0.3235489999999963,-0.5451970000000017,0.6476351195434034,16.186414056238647
1.0,22.0,28.0,10.0,32.0,26.0,15.0,22.703169000000003,30.186318,10.332425,-0.7031690000000026,-2.186318,-0.33242500000000064,2.3205472243223157,11.357816691600547
2.0,18.0,20.0,18.0,30.0,14.0,20.0,18.626913000000002,20.163393999999997,17.495824000000002,-0.6269130000000018,-0.1633939999999967,0.5041759999999975,0.8209207926353179,13.564659966250536
3.0,12.0,32.0,25.0,20.0,23.0,28.0,11.641079999999999,31.702695999999996,25.182459,0.35892000000000124,0.297304000000004,-0.18245900000000148,0.5005042672115831,12.409673645990857
4.0,11.0,51.0,3.0,18.0,42.0,6.0,11.368444999999998,50.957969999999996,2.2253620000000005,-0.3684449999999977,0.04203000000000401,0.7746379999999995,0.8588260999579588,11.789826122551595
5.0,27.0,9.0,11.0,41.0,5.0,13.0,26.717295,8.109510999999998,10.499034000000002,0.282705,0.8904890000000023,0.5009659999999982,1.060122497309628,14.696938456699069
6.0,10.0,52.0,4.0,16.0,42.0,8.0,9.616859000000002,51.661012,4.457268000000001,0.3831409999999984,0.3389880000000005,-0.4572680000000009,0.6861515239719285,12.328828005937952
7.0,26.0,34.0,8.0,34.0,30.0,14.0,25.458401,32.895538,8.262486,0.5415990000000015,1.104461999999998,-0.2624860000000009,1.25780152903429,10.770329614269007
8.0,10.0,52.0,18.0,2.0,46.0,26.0,-1.2974630000000005,59.749978,22.951273999999998,11.297463,-7.749977999999999,-4.951273999999998,14.567427482569768,12.806248474865697
9.0,28.0,20.0,28.0,32.0,20.0,28.0,22.856181,23.885740000000002,23.18151,5.143819000000001,-3.885740000000002,4.818490000000001,8.048334929192562,4.0
