row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.5,0.501506,0.0015060000000000073,0.0015060000000000073
0,1,linear_r0c1,0.0,0.001001,0.001001,0.001001
0,2,linear_r0c2,0.0,-0.000211,-0.000211,0.000211
0,3,tx,93.0,92.544384,-0.45561600000000624,0.45561600000000624
1,0,linear_r1c0,0.0,-0.000974,-0.000974,0.000974
1,1,linear_r1c1,0.5,0.501063,0.0010630000000000361,0.0010630000000000361
1,2,linear_r1c2,0.0,-1.4e-05,-1.4e-05,1.4e-05
1,3,ty,93.0,92.777386,-0.22261399999999298,0.22261399999999298
2,0,linear_r2c0,0.0,-0.000493,-0.000493,0.000493
2,1,linear_r2c1,0.0,0.000272,0.000272,0.000272
2,2,linear_r2c2,0.5,0.499502,-0.0004979999999999984,0.0004979999999999984
2,3,tz,93.0,92.844869,-0.15513099999999724,0.15513099999999724
