row,col,component,expected,estimated,diff,abs_diff
0,0,linear_r0c0,0.25,0.250518,0.0005180000000000184,0.0005180000000000184
0,1,linear_r0c1,0.0,-0.00049,-0.00049,0.00049
0,2,linear_r0c2,0.0,-0.000116,-0.000116,0.000116
0,3,tx,31.25,30.923485,-0.32651500000000055,0.32651500000000055
1,0,linear_r1c0,0.0,-0.000485,-0.000485,0.000485
1,1,linear_r1c1,0.25,0.250363,0.0003630000000000022,0.0003630000000000022
1,2,linear_r1c2,0.0,-0.000369,-0.000369,0.000369
1,3,ty,31.25,30.964616,-0.2853840000000005,0.2853840000000005
2,0,linear_r2c0,0.0,-0.000134,-0.000134,0.000134
2,1,linear_r2c1,0.0,0.000383,0.000383,0.000383
2,2,linear_r2c2,0.25,0.249763,-0.00023699999999998722,0.00023699999999998722
2,3,tz,31.25,30.939483,-0.3105170000000008,0.3105170000000008
