match_index,source_x,source_y,source_z,reference_x,reference_y,reference_z,predicted_source_x,predicted_source_y,predicted_source_z,residual_x,residual_y,residual_z,residual_l2,raw_delta_l2
0.0,31.0,61.2,36.6,33.0,186.0,62.0,31.188287,61.716862,37.120474,-0.18828699999999898,-0.5168619999999962,-0.5204740000000001,0.7572922197467737,127.37425171517201
1.0,39.2,30.2,53.0,70.0,28.0,140.0,38.608855,30.194513999999998,52.72403,0.5911450000000045,0.005486000000001212,0.27597000000000094,0.6524124064738545,92.31727898936363
2.0,39.0,56.2,72.0,70.0,159.0,237.0,38.437544,56.390665999999996,71.961113,0.5624559999999974,-0.19066599999999312,0.03888700000000256,0.5951659216226973,196.85995021842305
3.0,54.2,41.0,29.0,148.0,80.0,20.0,54.243022999999994,40.590270000000004,28.751566,-0.04302299999999093,0.40972999999999615,0.2484339999999996,0.4810915752588023,101.98254752652534
4.0,38.2,70.8,31.0,69.0,231.0,32.0,38.368058000000005,70.716991,31.098451,-0.16805800000000204,0.08300900000000411,-0.09845100000000073,0.21172289636692937,163.13699764308524
5.0,50.0,53.6,31.8,128.0,146.0,36.0,50.19432499999999,53.768812,31.91024,-0.1943249999999921,-0.16881199999999552,-0.110240000000001,0.2800224179757679,120.99338824911054
6.0,33.2,64.4,33.0,42.0,200.0,42.0,32.992250999999996,64.512816,33.124282,0.20774900000000684,-0.11281599999999514,-0.12428200000000089,0.2670825946800015,136.18296516084527
7.0,38.6,62.0,35.2,70.0,187.0,53.0,38.578635999999996,61.933541999999996,35.305637000000004,0.02136400000000549,0.06645800000000435,-0.10563700000000154,0.12661856905288868,130.10687914172718
8.0,56.2,45.2,36.8,156.0,104.0,60.0,55.788711,45.39987,36.697462,0.41128900000000357,-0.1998699999999971,0.10253799999999558,0.46863706625170065,118.13433031934451
9.0,41.0,33.2,39.8,84.0,41.0,76.0,41.449405999999996,32.781220999999995,39.963987,-0.4494059999999962,0.4187790000000078,-0.16398700000000588,0.6357934726355761,56.74751095863148
10.0,38.0,39.8,40.2,68.0,77.0,78.0,38.230993999999995,39.964999,40.350383,-0.23099399999999548,-0.16499900000000167,-0.15038299999999793,0.3212443691739948,60.931765114757674
11.0,52.8,52.8,43.0,143.0,142.0,93.0,53.140699,52.993279,43.253718000000006,-0.34069900000000075,-0.19327900000000398,-0.2537180000000063,0.4666962652154025,136.3549779069323
12.0,60.8,42.0,47.2,180.0,86.0,115.0,60.542045,41.831765000000004,47.64564,0.2579549999999955,0.1682349999999957,-0.44563999999999737,0.5416999232508658,144.01902652080383
13.0,64.8,61.6,49.0,201.0,182.0,121.0,64.66346300000001,61.022051,48.770706000000004,0.13653699999998992,0.5779490000000038,0.2292939999999959,0.6365871011935442,195.52646879642663
14.0,53.8,65.8,49.4,145.0,206.0,125.0,53.469454999999996,65.78821500000001,49.58641,0.33054500000000075,0.011784999999989054,-0.18641000000000219,0.37966771175595254,183.54519879310382
15.0,54.0,61.2,50.2,147.0,184.0,128.0,53.880573,61.395214,50.195676,0.11942700000000173,-0.195214,0.004324000000003991,0.22888864345135268,172.57369440328964
16.0,48.6,40.0,50.6,123.0,77.0,130.0,49.160888,40.008119,50.671941000000004,-0.5608879999999985,-0.008119000000000653,-0.07194100000000248,0.565541133946947,114.92919559450506
17.0,39.8,35.8,51.8,74.0,56.0,134.0,39.393626999999995,35.788436,51.510234,0.4063730000000021,0.011563999999999908,0.2897660000000002,0.49923649303812095,91.29359232717268
18.0,39.0,33.4,52.8,71.0,43.0,141.0,38.797557999999995,33.191818,52.913631,0.2024420000000049,0.20818200000000076,-0.11363100000000514,0.31182449013668484,94.31542821829312
19.0,28.0,50.2,53.2,18.0,128.0,144.0,28.162491,50.145066,53.492121999999995,-0.16249099999999927,0.054934000000002925,-0.292121999999992,0.3387570402530336,119.9894995405848
20.0,54.0,33.6,55.6,147.0,46.0,154.0,53.949775,33.834517999999996,55.45501,0.05022499999999752,-0.23451799999999423,0.14498999999999995,0.2802558528362914,135.96072962440294
21.0,39.8,48.2,57.2,76.0,120.0,160.0,39.727591000000004,48.581722,56.648182,0.07240899999999328,-0.38172199999999634,0.5518180000000044,0.6748761765605606,130.5125281342753
22.0,65.8,38.2,60.8,206.0,68.0,181.0,65.684923,38.267733,60.782986,0.11507699999999943,-0.06773299999999693,0.017013999999996088,0.13461036889481925,187.06180796731329
23.0,64.4,64.2,65.0,198.0,198.0,203.0,63.983009,64.239301,65.091148,0.416991000000003,-0.0393009999999947,-0.091148000000004,0.4286420658148274,234.08417289513616
24.0,60.0,43.8,65.6,177.0,97.0,205.0,59.857972000000004,44.05238,65.562049,0.14202799999999627,-0.25238000000000227,0.03795099999999252,0.29207515400149925,189.60907151294214
25.0,59.2,62.0,66.8,172.0,188.0,213.0,58.792783,62.230757,67.103886,0.4072170000000028,-0.230756999999997,-0.30388600000000565,0.558051233431129,223.54927868369427
26.0,27.6,31.8,70.0,14.0,35.0,226.0,27.354975999999997,31.587189,69.878017,0.24502400000000435,0.21281100000000208,0.12198300000000017,0.3467061213564062,156.62439145931262
27.0,66.8,66.8,40.8,210.0,210.0,82.0,66.474609,66.609518,40.982828,0.3253909999999962,0.19048200000000293,-0.18282800000000066,0.41903314044237466,206.66378492614518
28.0,56.8,52.8,42.8,162.0,140.0,92.0,56.934271,52.603426,43.044422,-0.13427100000000536,0.19657399999999825,-0.24442200000000014,0.34119225225816724,145.229198166209
29.0,29.2,69.2,64.8,24.0,220.0,202.0,29.248243,68.542724,64.982986,-0.04824299999999937,0.657275999999996,-0.18298599999999965,0.68397587926841,203.9399911738745
30.0,34.4,60.4,31.2,50.0,182.0,34.0,34.607533,60.919002,31.537216,-0.20753299999999797,-0.5190020000000004,-0.3372160000000015,0.6527998565785693,122.62854480095571
31.0,68.4,64.4,33.2,218.0,198.0,42.0,68.113677,64.205506,33.020224,0.2863230000000101,0.19449400000000594,0.17977600000000393,0.39003613491702216,200.7649371777851
32.0,62.8,62.0,34.4,188.0,186.0,48.0,62.130069000000006,61.794231999999994,34.240048,0.6699309999999912,0.20576800000000617,0.15995199999999699,0.7188411903118725,176.737092880923
33.0,61.2,37.2,34.8,182.0,64.0,50.0,61.012187,37.420064,34.714473999999996,0.18781300000000556,-0.2200640000000007,0.08552600000000155,0.30168954861082387,124.66723707534389
34.0,40.4,28.8,36.0,78.0,20.0,56.0,40.283455,28.577469999999998,35.99759,0.11654500000000212,0.22253000000000256,0.0024099999999975807,0.2512133476250847,43.48792935976603
35.0,32.8,43.6,36.8,38.0,94.0,58.0,32.250669,43.339818,36.375728,0.5493309999999951,0.26018200000000036,0.4242719999999949,0.74125970527811,54.9239474182255
36.0,53.2,40.4,37.2,144.0,78.0,62.0,53.409712999999996,40.20019,37.118356,-0.2097129999999936,0.19980999999999938,0.08164400000000427,0.30094737281624134,101.35797945894541
37.0,36.8,39.2,38.8,62.0,74.0,72.0,37.040921,39.360904,39.161012,-0.24092100000000016,-0.16090399999999505,-0.36101200000000233,0.46288517971630955,54.29843459990352
38.0,57.2,52.8,42.4,164.0,142.0,88.0,57.335505,53.002908,42.245540000000005,-0.13550499999999488,-0.20290800000000075,0.15445999999999316,0.28877526398394443,146.4316905591136
39.0,60.0,43.6,44.4,176.0,94.0,100.0,59.75156100000001,43.42368,44.656412,0.24843899999999053,0.17632000000000403,-0.2564120000000045,0.39819316024386836,138.15759117761138
