transform_id,transform_tag,scale_x,scale_y,scale_z,isotropic_scale,registration_succeeded,reg_exit_code,roi_size,roi_size_xyz,degradation,blur_sigma_xy,awgn_variance,awgn_seed,match_count,linear_rms_error,linear_mean_abs_error,linear_max_abs_error,translation_l2_error_voxels,translation_mean_abs_error_voxels,translation_max_abs_error_voxels,max_abs_transform_element_error,max_abs_transform_element_component,linear_det_abs_error,noise_std,expected_noise_std,run_dir
T1,centered_affine_rz0_ry0_rx0_sx10_sy10_sz10_shxy0_shyz0_tx0_ty0_tz0,10.0,10.0,10.0,10.0,False,1,250,250x250x250,blur_awgn,1.0,25.0,42,0,,,,,,,,,,5.007569313049316,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx10_sy10_sz10_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T2,centered_affine_rz0_ry0_rx0_sx1_sy1_sz1_shxy0_shyz0_tx0_ty0_tz0,1.0,1.0,1.0,1.0,True,0,64,64x64x64,awgn,0.0,5.0,42,113,0.0020707703343871274,0.0018399999999999944,0.003182000000000018,0.16081220133746071,0.08185166666666667,0.140597,0.140597,tz,0.004300583000277913,2.257781982421875,2.23606797749979,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx1_sy1_sz1_shxy0_shyz0_tx0_ty0_tz0/roi64_awgn_var0005
T2,centered_affine_rz0_ry0_rx0_sx1_sy1_sz1_shxy0_shyz0_tx0_ty0_tz0,1.0,1.0,1.0,1.0,True,0,250,250x250x250,blur_awgn,1.0,25.0,42,3959,8.317050759333671e-05,6.866666666665578e-05,0.000132,0.027666621134500684,0.013121666666666665,0.025095,0.025095,tz,0.00010399310253284,5.007566452026367,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx1_sy1_sz1_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T3,centered_affine_rz0_ry0_rx0_sx1p25_sy1p25_sz1p25_shxy0_shyz0_tx0_ty0_tz0,1.25,1.25,1.25,1.25,True,0,250,250x250x250,blur_awgn,1.0,25.0,42,468,0.0006481101586750332,0.0005450000000000018,0.001314,0.43102576202938003,0.22962833333333896,0.34654800000000563,0.34654800000000563,tz,0.00010690185813988506,5.007561683654785,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx1p25_sy1p25_sz1p25_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T4,centered_affine_rz0_ry0_rx0_sx1p5_sy1p5_sz1p5_shxy0_shyz0_tx0_ty0_tz0,1.5,1.5,1.5,1.5,True,0,250,250x250x250,blur_awgn,1.0,25.0,42,151,0.0012563595409552048,0.0010383333332222048,0.001989,0.22161074931499228,0.12692466665266267,0.1463109999579899,0.1463109999579899,tx,0.0008812043341616116,5.007568359375,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx1p5_sy1p5_sz1p5_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T5,centered_affine_rz0_ry0_rx0_sx2_sy2_sz2_shxy0_shyz0_tx0_ty0_tz0,2.0,2.0,2.0,2.0,False,1,64,64x64x64,awgn,0.0,5.0,42,0,,,,,,,,,,2.2577826976776123,2.23606797749979,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx2_sy2_sz2_shxy0_shyz0_tx0_ty0_tz0/roi64_awgn_var0005
T5,centered_affine_rz0_ry0_rx0_sx2_sy2_sz2_shxy0_shyz0_tx0_ty0_tz0,2.0,2.0,2.0,2.0,True,0,250,250x250x250,blur_awgn,1.0,25.0,42,7,0.07787052443782708,0.0612188888888889,0.15339000000000003,11.781949231524338,6.108012333333332,10.233781999999998,10.233781999999998,tz,0.04821228724840239,5.007569313049316,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx2_sy2_sz2_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T6,centered_affine_rz0_ry0_rx0_sx3_sy3_sz3_shxy0_shyz0_tx0_ty0_tz0,3.0,3.0,3.0,3.0,False,1,250,250x250x250,blur_awgn,1.0,25.0,42,0,,,,,,,,,,5.007566452026367,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx3_sy3_sz3_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T7,centered_affine_rz0_ry0_rx0_sx4_sy4_sz4_shxy0_shyz0_tx0_ty0_tz0,4.0,4.0,4.0,4.0,False,1,250,250x250x250,blur_awgn,1.0,25.0,42,0,,,,,,,,,,5.007569313049316,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx4_sy4_sz4_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T8,centered_affine_rz0_ry0_rx0_sx6_sy6_sz6_shxy0_shyz0_tx0_ty0_tz0,6.0,6.0,6.0,6.0,False,1,250,250x250x250,blur_awgn,1.0,25.0,42,0,,,,,,,,,,5.007568836212158,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx6_sy6_sz6_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T9,centered_affine_rz0_ry0_rx0_sx8_sy8_sz8_shxy0_shyz0_tx0_ty0_tz0,8.0,8.0,8.0,8.0,False,1,250,250x250x250,blur_awgn,1.0,25.0,42,0,,,,,,,,,,5.007569313049316,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz0_ry0_rx0_sx8_sy8_sz8_shxy0_shyz0_tx0_ty0_tz0/roi250_blur1_awgn_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,10.0,42,9,0.07867412418772375,0.06906341948411111,0.13665833412100004,6.802823001605236,3.8491290105113123,4.719545213538992,4.719545213538992,tz,0.17841467080867823,3.1795153617858887,3.1622776601683795,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0010
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,15.0,42,11,0.07475737339773465,0.06521541948411112,0.12493733412099994,7.204333962310448,4.031043677177979,4.844892213538992,4.844892213538992,tz,0.18208228480786381,3.888415813446045,3.872983346207417,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0015
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,20.0,42,10,0.0957744300415056,0.08258248066544444,0.143418200175,10.292001864127734,5.73746567717798,7.4504579762119825,7.4504579762119825,ty,0.047909573925166704,4.487007141113281,4.47213595499958,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0020
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,25.0,42,10,0.06143746779720184,0.05504449197366666,0.08410436107599999,6.997097631848059,3.931600677177979,4.808283976211984,4.808283976211984,ty,0.0008686099667477576,5.015030860900879,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,25.0,42,10,0.06143746779720184,0.05504449197366666,0.08410436107599999,6.997097631848059,3.931600677177979,4.808283976211984,4.808283976211984,ty,0.0008686099667477576,5.015030860900879,5.0,UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,26.0,42,10,0.06143746779720184,0.05504449197366666,0.08410436107599999,6.997097631848059,3.931600677177979,4.808283976211984,4.808283976211984,ty,0.0008686099667477576,5.113666534423828,5.0990195135927845,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_var0026
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,27.0,42,11,0.03672380216898147,0.026571755771888885,0.07949733412100002,3.869076290536522,2.0550063438446458,2.8288268417829627,2.8288268417829627,tx,0.08261324274135395,5.21023416519165,5.196152422706632,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_var0027
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,30.0,42,12,0.07717984085251299,0.06579249197366668,0.12263320017500001,8.66445531096028,4.619783343844645,6.820042976211983,6.820042976211983,ty,0.03455517361015481,5.490666389465332,5.477225575051661,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0030
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,35.0,42,10,0.12177548398049999,0.10078971419588889,0.23065720017500002,13.610363522576836,6.889152343844645,11.741076976211982,11.741076976211982,ty,0.0769470871152611,5.92983341217041,5.916079783099616,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0035
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,40.0,42,11,0.1223526958789267,0.10085649197366668,0.233065200175,13.729777621902587,6.952250343844646,11.817146976211983,11.817146976211983,ty,0.07144822455678601,6.339260101318359,6.324555320336759,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0040
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,45.0,42,9,0.11790360826047336,0.09389471124144445,0.229620200175,13.044994726081562,6.385871010511312,11.687548976211982,11.687548976211982,ty,0.06190368393647916,6.723472595214844,6.708203932499369,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0045
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,awgn,0.0,50.0,42,9,0.11790360826047336,0.09389471124144445,0.229620200175,13.044994726081562,6.385871010511312,11.687548976211982,11.687548976211982,ty,0.06190368393647916,7.085561275482178,7.0710678118654755,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_awgn_var0050
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,64,64x64x64,blur_awgn,1.0,25.0,42,6,0.4360565387779925,0.37626098405522224,0.690862799825,40.295549852800875,23.031962026369992,26.640631023788018,26.640631023788018,ty,0.14926947592966666,5.01501989364624,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi64_blur1_awgn_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,5.0,42,204,0.0017963521238507111,0.001225280346999992,0.003889128238999895,0.45822498808699036,0.20274829039799988,0.44074829557196793,0.44074829557196793,ty,0.002892240315505945,2.254343032836914,2.23606797749979,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0005
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,10.0,42,199,0.0017579260685090118,0.001289229802555565,0.0038711282390000434,0.4386531705202851,0.21959262373133312,0.36818129557196855,0.36818129557196855,ty,0.0010479733070800634,3.1752474308013916,3.1622776601683795,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0010
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,15.0,42,188,0.0017513868926636422,0.0013602703245555751,0.003636128239000058,0.34711803132818325,0.19126295706466578,0.27564929557196827,0.27564929557196827,ty,0.0014004377949734526,3.882986068725586,3.872983346207417,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0015
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,20.0,42,185,0.00148894085615641,0.0012921782041111249,0.00262112823900007,0.40493309899008895,0.20319462373133312,0.300245295571969,0.300245295571969,ty,0.000757480267379651,4.480978488922119,4.47213595499958,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0020
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,25.0,42,179,0.0016556808838631694,0.0014288448707777772,0.0030541282389999758,0.45356689330523636,0.23006087949065565,0.3349822955719688,0.3349822955719688,ty,0.00019572670151613014,5.0076584815979,5.0,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0025
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,30.0,42,175,0.001691738475040899,0.0014923392449999956,0.0027304624080000117,0.4044705964304104,0.21117062373133363,0.32040845926101547,0.32040845926101547,tz,0.002397286233237983,5.484134197235107,5.477225575051661,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0030
T10,centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5,1.06,0.95,1.03,,True,0,128,128x128x128,awgn,0.0,35.0,42,172,0.0013762809828099603,0.0012047836894444408,0.001987986705,0.3322845765297648,0.17729362373133264,0.2523154592610144,0.2523154592610144,tz,0.00013711824676099216,5.922173023223877,5.916079783099616,/Users/mmarss/study/science/ImageRegistration3D/UIR/runs/centered_affine_rz12_rym6_rx4_sx1p06_sy0p95_sz1p03_shxy0p0025_shyzm0p0015_tx8_tym6_tz5/roi128_awgn_var0035
